title,display_title,author,work,doc_type,collection,chunks
124685109-Quantum-Healing.pdf,Quantum Techniques® Client Manual,,,manual,science_bridge,101
17 Gratitude & Appreciation Exercises-Introduction.pdf,17 Gratitude & Appreciation Exercises,,,worksheet,science_bridge,6
17 Meaning & Valued Living Exercises - Introduction.pdf,Meaning & Valued Living Exercises,,,worksheet,unsorted,29
17 Motivation & Goal Achievement Exercises-Introduction.pdf,17 Motivation & Goal Achievement Exercises,,,worksheet,science_bridge,26
17 Productivity & Work Efficiency Exercises-Introduction.pdf,17 Productivity & Work Efficiency Exercises,,,worksheet,unsorted,8
17 Strength Finding Exercises-Introduction.pdf,17 Strength Finding Exercises,,,worksheet,science_bridge,41
1950__fleet___rays_of_the_dawn_full_book_OCR.pdf,Rays of the Dawn,Thurman Fleet,,book,metaphysics,216
201419935-A-spiritual-approach-to-astrology-pdf.pdf,A Complete Textbook of Astrology,Myrna,,book,metaphysics,716
2017_Horizon_Modality_and_Reason_Anothe.pdf,"Horizon, Modality, and Reason: Another Look at Husserl and the Normativity of Perception",Zachary John Hugo,Études phénoménologiques - Phenomenological Studies,article,unsorted,54
235570554-Turning-Fear-Into-Success.pdf,Turning Fear Into Success,,,book,unsorted,15
293380508-The-Untethered-Soul-Twelve-Step-Guide-to-Spiritual-Awakening-pdf.pdf,The Untethered Soul: Twelve-Step Guide to Spiritual Awakening,Michael Singer,The Untethered Soul,book,addiction_recovery,6
"3 HOURS OF FORBIDDEN METAPHYSICS - What Tesla, Thoth, and Goddard Revealed About Your Mind.pdf",3 Hours of Forbidden Metaphysics,Neville Goddard,,book,science_bridge,94
314469660-Staying-sober-Client-Work-Book.pdf,Staying Sober Client Workbook,,,worksheet,addiction_recovery,181
347359946-337845780-Timothy-Ferriss-Tools-of-Titans.pdf,Tools of Titans,Timothy Ferriss,,book,unsorted,990
416317719-Dictionary-of-All-Scriptures-and-Myths-pdf.pdf,416317719-Dictionary-of-All-Scriptures-and-Myths-pdf.pdf,,,,unsorted,2826
416317719-Dictionary-of-All-Scriptures-and-Myths_2-pdf.pdf,Dictionary of All Scriptures and Myths,,,book,unsorted,5036
417284535-Activate-your-Merkaba-1-1-pdf-OCR.pdf,417284535-Activate-your-Merkaba-1-1-pdf-OCR.pdf,,,,unsorted,54
422184102-INTENTION-SETTING-WORKSHEET-SARAHPROUT-pdf.pdf,The Ultimate Intention Setting Worksheet,Sarah Prout,,worksheet,healing_modalities,10
468547-The-Secret-Doctrine-by-H-P-Blavatsky.pdf,The Secret Doctrine,H.P. Blavatsky,,book,metaphysics,3332
473587237-Boundaries-Workbook-Nila-Conzen01-pdf.pdf,Boundaries 101,Nila Conzen,,worksheet,science_bridge,7
476268616-The-Map-Workbook-With-Forms.pdf,The Map Workbook: The Companion Guide to Creating Your Dream Life,Boni Lonnsburry,,book,metaphysics,119
481343054-The-Hermetica-The-Lost-Wisdom-of-the-Pharaohs-by-Timothy-Freke-Peter-Gandy-pdf.pdf,The Hermetica: The Lost Wisdom of the Pharaohs,Tim Freke & Peter Gandy,,book,metaphysics,94
484489715-The-Untethered-Soul-pdf.pdf,The Untethered Soul,Michael Singer,,book,metaphysics,16
484647754-Future-Self-Journal-2020-pdf.pdf,Future Self Journal,,,worksheet,unsorted,17
548198741-The-Surrender-Experiment-by-Michael-a-Singer.pdf,The Surrender Experiment,Michael A. Singer,,book,metaphysics,285
550603691-A-Metaphysical-Interpretation-of-the-Bible-by-Steven-Hairfield.pdf,A Metaphysical Interpretation of the Bible,"Steven L. Hairfield, Ph.D",,book,science_bridge,1407
605739633-Your-Why-Workbook.pdf,Your Why Workbook,,,worksheet,unsorted,8
642555070-1-Third-Eye-Pineal-Gland-pdf.pdf,Third Eye - Pineal Gland,,,article,metaphysics,19
660438026-Blueprint-for-God-Power-Workbook-Final.pdf,Blueprint for God Power,Doctah B. Sirius,Elevation Foundation for Abundant Life,worksheet,metaphysics,20
660665662-TheKybalion.pdf,660665662-TheKybalion.pdf,,,,unsorted,167
676128202-HumanHealthGuide-230914-112844.pdf,Human Health Guide,,,article,unsorted,11
679204999-Hearth-2-SoulSource-Julio-Castro-Divine-Being-Being-Divine-Z-Library.pdf,"Divine Being, Being Divine",Julio Castro,Hearth 2 SoulSource,book,metaphysics,15
679860391-Hearth-Book-1-Heart-Earth-Syncretism-121-Pages-PDF-OCR.pdf,679860391-Hearth-Book-1-Heart-Earth-Syncretism-121-Pages-PDF-OCR.pdf,,,,unsorted,119
682528228-Substance-Use-Disorders-and-Addictions.pdf,Substance Use Disorders and Addictions,,,book,addiction_recovery,590
683556141-The-Biology-of-Belief-10th-Anniversary-Edition-Unleashing-the-Power-of.pdf,The Biology of Belief: 10th Anniversary Edition,Bruce H. Lipton,,book,science_bridge,480
699182036-12-Magical-Laws-of-The-Universe-Full-Book-PDF.pdf,Magical Laws of The Universe,,,book,metaphysics,16
714155310-1938-the-Beginner-s-Guide-to-Stoicism-Tools.pdf,The Beginner's Guide to Stoicism,,,book,unsorted,140
714179430-Harmonic-Alchemy-5-8-in-Full-Book.pdf,714179430-Harmonic-Alchemy-5-8-in-Full-Book.pdf,,,,unsorted,37
717257909-Third-Eye-Code-Book.pdf,Third Eye Code,Nicole Campbell,,book,metaphysics,91
728046965-1281-Transcending-The-Levels-Of-Consciousness-David-R-Hawkins-IND.pdf,Melampaui Tingkat Kesadaran,David R. Hawkins,,book,metaphysics,423
738129530-Book-of-Wisdom-Part-1-Revival-of-Wisdom-08-10.pdf,Book of Wisdom Part 1: Revival of Wisdom,,,book,metaphysics,5
740557864-Indonesia-Healing-and-Recovery-David-R-Hawkins.pdf,740557864-Indonesia-Healing-and-Recovery-David-R-Hawkins.pdf,David R. Hawkins,,,addiction_recovery,797
745723823-The-Addiction-Recovery-Workbook-Powerful-Skills-for-Preventing-Relapse-Every-Day-Paula-A-Freedman.pdf,745723823-The-Addiction-Recovery-Workbook-Powerful-Skills-for-Preventing-Relapse-Every-Day-Paula-A-Freedman.pdf,,,,addiction_recovery,212
74981954-Human-Energy-Systems-OCR.pdf,74981954-Human-Energy-Systems-OCR.pdf,,,,unsorted,359
758689130-1276-Discovery-of-the-Presence-of-God-David-R-Hawkins.pdf,758689130-1276-Discovery-of-the-Presence-of-God-David-R-Hawkins.pdf,David R. Hawkins,,,unsorted,306
807250680-Clinical-Mental-Health-Counseling-in-Community-and-Agency-Settings-5th-Edition.pdf,Clinical Mental Health Counseling in Community and Agency Settings,"Samuel T. Gladding, Deborah W. Newsome",,book,science_bridge,1163
816662870-OceanofPDF-com-The-Foundation-of-Mysticism-Joel-S-Goldsmith.pdf,The Foundation of Mysticism,Joel S. Goldsmith,The Infinite Way,book,metaphysics,453
857419262-Self-Directed-DBT-Skills-A-3-Month-DBT-Workbook-to-Regulate-Intense-Emotions-and-Create-Lasting-Change-with-Dialectical-Behavior-Therapy-Best-Quality.pdf,Self Directed DBT Skills: A 3 Month DBT Workbook to Regulate Intense Emotions and Create Lasting Change with Dialectical Behavior Therapy,,,book,healing_modalities,20
869145584-Codex-of-the-Soul-Astrology-Archetypes-and-Your-Sacred-Blueprint-ISBN-1583944494-9781583944493-all-chapter.pdf,"Codex of the Soul: Astrology, Archetypes, and Your Sacred Blueprint",VerDarLuz,,book,metaphysics,13
886506733-OceanofPDF-com-Neurodivergent-Friendly-Dbt-Workbook-Yevhenii-Lozovyi.pdf,The Neurodivergent Friendly DBT Workbook for Self-Help Individual and Group Settings,Yevhenii Lozovyi,Expanded Dialectical Behaviour Therapy Skills Training Manual,book,healing_modalities,325
887382709-Breaking-the-Habit-of-Being-Yourself-Summary.pdf,Breaking the Habit of Being Yourself,Joe Dispenza,,book,science_bridge,89
905652287-Building-a-Life-Worth-Living-PDF.pdf,Building a Life Worth Living,Marsha M. Linehan,,book,healing_modalities,218
A Conversation with the Inner Child.pdf,A Conversation with the Inner Child,Dr. Jeremy Sutton,,worksheet,healing_modalities,1
A Family Tree of Strengths.pdf,A Family Tree of Strengths,,,article,healing_modalities,6
A Goal-Buddy.pdf,A Goal-Buddy,,,worksheet,unsorted,7
A Mindful Goal Focus.pdf,A Mindful Goal Focus,,,article,science_bridge,10
A Reflected Best Self Portrait.pdf,A Reflected Best Self Portrait,,,worksheet,science_bridge,13
A Strength-Based Resume.pdf,A Strength-Based Résumé,,,worksheet,unsorted,7
A Value-Tattoo.pdf,A Value-Tattoo,,,worksheet,healing_modalities,3
AA-Big-Book-4th-edition.pdf,Alcoholics Anonymous,,Big Book,book,addiction_recovery,426
AN_UNDERSTANDING_OF_HUMAN_ADDICTION_USIN.pdf,An Understanding of Human Addiction Using the Dissipative Quantum System,,,paper,addiction_recovery,30
ATHENA_AWAKENING_A_THEORETICAL_EXPLORATI.pdf,ATHENA AWAKENING: A THEORETICAL EXPLORATION OF CATHARTIC INTEGRATION WITHIN PSYCHEDELIC-ASSISTED PSYCHOTHERAPY FOR POST-TRAUMATIC STRESS DISORDER,Adrian Scharfetter,,dissertation,healing_modalities,236
A_Short_Sociology_of_Archetypes.pdf,A Short Sociology of Archetypes,Mike Sosteric,AU Sociology 420: Writing New Stories,paper,unsorted,38
A_Sociology_of_Tarot.pdf,A Sociology of Tarot,Mike Sosteric,Canadian Journal of Sociology,article,metaphysics,67
Academia_as_therapy.pdf,Academia as therapy,Dee Michell,"Women Activating Agency in Academia: Metaphors, Manifestos and Memoir",chapter,healing_modalities,24
Accepting Yourself As Being Perfectly Imperfect.pdf,Accepting Yourself As Being Perfectly Imperfect,Dr. Jeremy Sutton,,worksheet,unsorted,1
Acquired_Innocence_The_Law_the_Charge_an.pdf,"Acquired Innocence. The Law, the Charge, and K.'s Trial: Franz Kafka and Franz Brentano",Robert Welsh Jordan,Jahrbuch der deutschen Schillergesellschaft,paper,unsorted,48
Against_the_Odds_Care_Leavers_at_Univers.pdf,Against the Odds: Care Leavers at University,"Deidre Michell, David Jackson, Casey Tonkin",,book,unsorted,277
All_the_News_Worth_Reading_The_Christian.pdf,All the News Worth Reading: The Christian Science Monitor,,,article,unsorted,80
An_Evangelical_Analysis_and_Critique_of.pdf,An Evangelical Analysis and Critique of Feminist Christology,Micah Daniel Carter,,dissertation,unsorted,370
Analysis_and_Update_of_the_Taittiriya_Up.pdf,"Analysis, Update, and Commentary of the Taittiriya Upanishad",,,paper,metaphysics,89
Assessment of Life and Career ‘Wants’.pdf,Assessment of Life and Career ‘Wants’,Dr. Jeremy Sutton,,worksheet,unsorted,1
Australian_Care_Leavers_Misery_Memoirs_a.pdf,Australian Care Leavers' 'Misery Memoirs' as Anti-Stigma Activism,Dee Michell,,paper,unsorted,22
Awareness of Progress and Accomplishments.pdf,Awareness of Progress and Accomplishments,,Positive Psychology Toolkit,worksheet,science_bridge,3
BB-PPG-Study Guide.pdf,Big Book Study Guide,,Alcoholics Anonymous,book,addiction_recovery,190
BCAMD-HH July Tuition Sheet 2023.pdf,Tuition Sheet July 2023,,Quantum University,worksheet,unsorted,3
BCAMD-HH.pdf,"Fast Track Bachelor of Completion, Master, and Doctorate in Holistic Health",,,brochure,science_bridge,3
BCAMDP-NM July 2023 Tuition Sheet.pdf,Tuition Sheet July 2023,,Quantum University,worksheet,unsorted,3
BCAMDP-NM.pdf,Doctor of Natural Medicine Program Curriculum,,,worksheet,unsorted,3
BHBY CH 10-11.pdf,Creative State Induction and Habit Pruning,Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,38
BHBY CH 7 - ADDICTION.pdf,Breaking the Habit of Being Yourself,Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,23
BHBY CH 8-Meditation for Transformation.pdf,Meditation for Self-Transformation,Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,32
BHBY CH5-PT2.pdf,Breaking Habit CH 5 - PT 2: Impact of Emotions on Health and the Power of Thought,Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,21
BHBY CH9.pdf,Stepping Towards Your New Destiny Through Meditation,Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,16
BHBY-CH-13.pdf,"Creating and Rehearsing a New You: Week Four, Step Seven",Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,27
BHBY-CH-6.pdf,Three Brains: Thinking to Doing to Being,Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,34
BHBY-CH2.pdf,Breaking Habit - CH 2 - Quantum Mechanics and the Influence of Mind on Reality,Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,25
BHBY-CH3.pdf,Breaking the Habit,Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,56
BHBY-CH4-1.pdf,Overcoming Time: The Impact of Subconscious Mind on Emotional States,Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,12
BHBY-CH4-2.pdf,Living in the Present to Shape a Desired Future,Joe Dispenza,Breaking the Habit of Being Yourself,book,metaphysics,7
